Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,0.6930079983040539,70.625,0.6929852720592392,69.5
10,0.692968032779607,71.5,0.6929682617852023,66.0
20,0.6929273521982422,50.5,0.6929492699804917,48.0
30,0.6928859440570574,50.5,0.6929285008856476,48.0
40,0.6928434102219418,50.5,0.6929053192720599,48.0
50,0.6927996289141547,50.5,0.6928798317272513,48.0
60,0.6927545625420798,50.5,0.6928521085211691,48.0
70,0.6927083681084555,50.5,0.692822097615227,48.0
80,0.6926615300047678,50.5,0.6927904165705617,48.0
90,0.6926137299734307,50.5,0.6927567663489347,48.0
100,0.692565011890932,50.5,0.6927210563365861,48.0
110,0.6925146520805805,50.5,0.6926829235988278,48.0
120,0.6924622300422105,50.5,0.6926419724141997,48.0
130,0.6924073000584369,50.5,0.6925977087147079,48.0
140,0.6923495258445422,50.5,0.692549720634436,48.0
150,0.6922886249242021,50.5,0.6924976545487985,48.0
160,0.6922243049995584,50.5,0.6924412922764399,48.0
170,0.6921562859982182,50.5,0.6923804925609177,48.0
180,0.6920842948835846,50.5,0.6923148431114194,48.0
190,0.6920080456871548,50.5,0.6922440720247434,48.0
200,0.6919272745379534,50.5,0.6921677727087843,48.0
210,0.6918415344138953,50.5,0.6920856837721897,48.0
220,0.6917505018665568,50.5,0.6919974499451246,48.0
230,0.691653730160826,50.5,0.6919026325820065,48.0
240,0.6915508343788598,50.5,0.6918008609248849,48.0
250,0.6914413977145029,50.5,0.691691680106165,48.0
260,0.6913248645338931,50.5,0.6915745395322126,48.0
270,0.6912007692827186,50.5,0.6914490389800645,48.0
280,0.6910687330771563,50.5,0.6913146650280985,48.0
290,0.6909280981446144,50.5,0.6911707227003329,48.0
300,0.6907782179564524,50.5,0.6910166180433563,48.0
310,0.6906186365102233,50.5,0.6908517318518619,48.0
320,0.6904486351939877,50.5,0.6906754019250867,48.0
330,0.6902675231420987,51.0,0.6904869424804317,48.5
340,0.6900746764863962,53.75,0.6902855303266313,51.0
350,0.6898693186369301,58.5,0.6900703462418539,56.49999999999999
360,0.6896508204611655,63.0,0.6898406110932542,62.5
370,0.6894182761906663,67.0,0.6895956462076055,66.0
380,0.6891708075314029,70.375,0.6893345476296656,68.0
390,0.6889073675709202,72.5,0.689056159829977,71.0
400,0.6886268101297486,74.0,0.6887592782132316,74.0
410,0.6883283392355886,75.25,0.6884429865027539,77.0
420,0.6880106397563931,76.375,0.6881058507516277,77.5
430,0.6876724019749517,77.0,0.6877465753995512,79.0
440,0.6873124723245048,78.5,0.6873638714362263,80.0
450,0.6869293882753975,79.125,0.6869561723817855,80.5
460,0.6865217454050863,79.75,0.6865220091416481,80.5
470,0.6860881121851016,80.625,0.6860597671664236,80.5
480,0.6856268495291267,80.625,0.6855676937899713,80.0
490,0.6851363160501238,80.625,0.6850440581946831,80.5
500,0.6846147221914021,79.875,0.684487064335334,81.0
510,0.6840602031069133,79.875,0.6838946197756741,80.0
520,0.6834706977565085,79.625,0.6832647506049753,79.0
530,0.6828442526258197,79.875,0.6825952027968227,79.5
540,0.6821788067803154,79.75,0.6818838080514936,79.0
550,0.6814719186942795,79.75,0.6811280194092875,79.0
560,0.6807212023375052,79.375,0.6803252738465159,79.5
570,0.6799243706837883,78.75,0.6794730795462576,79.0
580,0.6790789671112759,79.125,0.6785683669174455,80.0
590,0.6781823536601808,79.0,0.6776087143586669,79.5
600,0.6772317797462768,79.25,0.6765911942058263,79.5
610,0.6762243071254307,79.25,0.6755127154595115,79.5
620,0.6751571275225348,79.0,0.6743702264963162,79.5
630,0.6740274362393108,79.125,0.6731607513693078,80.5
640,0.6728322626379541,79.375,0.6718810896635725,81.5
650,0.6715686235852121,79.375,0.6705279958459957,81.5
660,0.6702334600370555,79.375,0.6690980996433535,81.5
670,0.6688236410049619,79.625,0.6675881675855646,81.5
680,0.667335787442691,79.375,0.6659949756441634,81.5
690,0.6657669297306164,79.875,0.6643153089838373,81.5
700,0.6641135575234861,79.75,0.6625456941350617,81.5
710,0.6623724326818464,79.5,0.6606824887061762,81.5
720,0.6605401339977351,79.625,0.6587222190054347,82.0
730,0.6586134459971231,79.75,0.6566614037191902,82.0
740,0.6565891136696184,79.625,0.6544966816505862,82.0
750,0.6544639897193689,79.625,0.6522250137759703,81.5
760,0.6522353402738633,79.625,0.6498436645505027,81.5
770,0.6499003319022764,79.875,0.6473496336327865,81.5
